FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983079,1983079,EMEI PROFESSORA ACIDÁLIA LOTT,EMEIS,31357570,RUA,ANTONIO MARIANO DE ABREU,1364,,Paulo VI,NORDESTE,POINT (616263.518527673 7806504.37965654)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983129,1983129,EMEI SANTA CRUZ,EMEIS,31357545,RUA,FLORICENA FARIA FRAGA,241,,Santa Cruz,NORDESTE,POINT (610933.116170208 7801443.29982467)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983116,1983116,EMEI CAMARGOS,EMEIS,31361739,RUA,GENTIL PORTUGAL DO BRASIL,61,,Camargos,OESTE,POINT (602435.913802564 7795501.199322)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983045,1983045,EMEI JOSÉ ISIDORO FILHO,EMEIS,31357340,RUA,ATLANTA,42,,Esperança,BARREIRO,POINT (605670.354473502 7788928.58715816)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983126,1983126,EMEI VILA CALAFATE,EMEIS,31361720,RUA,CONTENDAS,254,,Alto Barroca,OESTE,POINT (607671.365262961 7795749.12885666)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983176,1983176,EMEI BELMONTE,EMEIS,31357596,RUA,DOM SILVERIO GOMES PIMENTA,325,,Belmonte,NORDESTE,POINT (615147.121914286 7805176.56992836)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983075,1983075,EMEI SANTA ROSA,EMEIS,31362140,RUA,CALDAS DA RAINHA,527,,São Francisco,PAMPULHA,POINT (609786.86960047 7802436.2777069)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983134,1983134,EMEI CÉU AZUL,EMEIS,31358045,RUA,SAO JOAO BATISTA DO GLORIA,530,,Piratininga,VENDA NOVA,POINT (605584.76260971 7808094.17605809)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983081,1983081,EMEI CAPIVARI,EMEIS,31357464,RUA,CAPIVARI,1026,,Marçola,CENTRO-SUL,POINT (613971.965414446 7794757.97060405)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983058,1983058,EMEI PEDREIRA PRADO LOPES,EMEIS,31357715,RUA,CARMO DO RIO CLARO,203,,Pedreira Prado Lopes,NOROESTE,POINT (609912.725921959 7798907.70593746)
