FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1983481,1983481,ESCOLA MUNICIPAL CARLOS DRUMMOND DE ANDRADE,Municipal,31247294,RUA,DAS PEDRINHAS,76,,São João Batista,VENDA NOVA,POINT (609539.468281275 7807882.18991873)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981815,1981815,ESCOLA MUNICIPAL PROFESSOR PEDRO GUERRA,Municipal,31003751,RUA,JOAO FERREIRA DA SILVA,230,,Mantiqueira,VENDA NOVA,POINT (605990.548853359 7810119.8737332)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981819,1981819,ESCOLA MUNICIPAL MARIA DAS NEVES,Municipal,31003140,RUA,PIRANGA,39,,São Lucas,CENTRO-SUL,POINT (613040.918889144 7796120.60324413)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981901,1981901,ESCOLA MUNICIPAL ARTHUR GUIMARAES,Municipal,31003034,AVENIDA,AMERICO VESPUCIO,1610,,Nova Esperança,NOROESTE,POINT (608695.119815683 7799457.25407853)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981963,1981963,ESCOLA MUNICIPAL HERBERT JOSE DE SOUZA,Municipal,31312622,AVENIDA,DETETIVE EDUARDO FERNANDES,320,,Novo Aarão Reis,NORTE,POINT (614376.663206648 7805779.98710455)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981829,1981829,ESCOLA MUNICIPAL IMACO,Municipal,31003441,RUA,GONCALVES DIAS,1180,,Boa Viagem,CENTRO-SUL,POINT (611365.017002742 7795765.12560057)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1983343,1983343,ESCOLA MUNICIPAL MURILO RUBIAO,Municipal,31217883,RUA,UM,10,,Acaiaca,NORDESTE,POINT (615563.610775168 7805008.74681248)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981960,1981960,ESCOLA MUNICIPAL AURELIO PIRES,Municipal,31003115,RUA,BARRINHA,171,,Indaiá,PAMPULHA,POINT (609692.471174969 7803101.07238987)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982120,1982120,ESCOLA MUNICIPAL MINERVINA AUGUSTA,Municipal,31003662,RUA,DAVID CANABARRO,18,,Campo Alegre,NORTE,POINT (610266.068595886 7807008.32707951)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982145,1982145,ESCOLA MUNICIPAL MARIA DA ASSUNCAO DE MARCO,Municipal,31231991,RUA,ANA HORTA,98,,Goiânia,NORDESTE,POINT (614730.121322395 7803693.05189416)
